band,dynamicRange,dataType,nodata value,min,max,mean,std,obj,instid,imgref,date,doy
1.0,0.16597445466322822,6.0,0.0,0.0005676134605892003,0.16654206812381744,0.020643938255284818,0.02108952049097225,11,40020,20110313_231113_r2_scwa__hx,2011-03-13,72
2.0,0.02974387032736558,6.0,0.0,0.0001252297515748069,0.029869100078940388,0.003345536659717575,0.0032235196275279283,11,40020,20110313_231113_r2_scwa__hx,2011-03-13,72
1.0,0.14962282974738628,6.0,0.0,0.0010573099134489892,0.15068013966083527,0.03150704510981705,0.020622805202815602,13,40018,20110313_231113_r2_scwa__hx,2011-03-13,72
2.0,0.0370530011568917,6.0,0.0,0.00016963011876214296,0.03722263127565384,0.004862827776153909,0.003379114317603071,13,40018,20110313_231113_r2_scwa__hx,2011-03-13,72
1.0,0.09334824874531475,6.0,0.0,0.0008272911654785275,0.0941755399107933,0.021585878135733486,0.01238874792275172,1,40023,20110313_231113_r2_scwa__hx,2011-03-13,72
2.0,0.02182564584654756,6.0,0.0,0.00033353568869642913,0.022159181535243985,0.0036455918439835143,0.002178456260493945,1,40023,20110313_231113_r2_scwa__hx,2011-03-13,72
1.0,0.1528631243854761,6.0,0.0,0.0015051867812871933,0.1543683111667633,0.02982301990023045,0.019620308986640515,17,40016,20110313_231113_r2_scwa__hx,2011-03-13,72
2.0,0.03311543824383989,6.0,0.0,0.0002827206044457853,0.033398158848285675,0.004944122416785888,0.003236796855410388,17,40016,20110313_231113_r2_scwa__hx,2011-03-13,72
1.0,0.19391309638740492,6.0,0.0,0.0007599947857670486,0.194673091173172,0.022671469882367016,0.018742133764047705,21,40015,20110313_231113_r2_scwa__hx,2011-03-13,72
2.0,0.02345923261600547,6.0,0.0,0.0002412579779047519,0.023700490593910217,0.004075089844024592,0.0027625373883877974,21,40015,20110313_231113_r2_scwa__hx,2011-03-13,72
1.0,0.04763695964356884,6.0,0.0,0.0005317777977325023,0.04816873744130135,0.008648806099096315,0.005243232061334846,25,40015,20110313_231113_r2_scwa__hx,2011-03-13,72
2.0,0.007942393800476568,6.0,0.0,0.00020111221238039437,0.008143506012856959,0.0024023042538889217,0.0009310899797068367,25,40015,20110313_231113_r2_scwa__hx,2011-03-13,72
1.0,0.11619845766108483,6.0,0.0,0.0018249304266646504,0.11802338808774948,0.024406625389218457,0.013880833471432498,3,40023,20110313_231113_r2_scwa__hx,2011-03-13,72
2.0,0.024977482418762523,6.0,0.0,0.0002342560037504882,0.025211738422513008,0.003814491988357372,0.0021725657150230408,3,40023,20110313_231113_r2_scwa__hx,2011-03-13,72
1.0,0.15385494974907488,6.0,0.0,0.0014847234124317763,0.15533967316150663,0.026846820537244877,0.015408717399576244,5,40020,20110313_231113_r2_scwa__hx,2011-03-13,72
2.0,0.02428659686120227,6.0,0.0,0.00040562188951298594,0.02469221875071525,0.0038025755316176764,0.002168011961082892,5,40020,20110313_231113_r2_scwa__hx,2011-03-13,72
1.0,0.1574123395839706,6.0,0.0,0.0017901615938171742,0.15920250117778778,0.0347067470642187,0.017745023117474612,7,40020,20110313_231113_r2_scwa__hx,2011-03-13,72
2.0,0.020101359288673848,6.0,0.0,0.0005434153717942536,0.0206447746604681,0.004548290470811914,0.002379621296563068,7,40020,20110313_231113_r2_scwa__hx,2011-03-13,72
1.0,0.08149972592946143,6.0,0.0,0.0011909600580111146,0.08269068598747252,0.017042357549919878,0.009675590536493287,9,40020,20110313_231113_r2_scwa__hx,2011-03-13,72
2.0,0.00783950014738366,6.0,0.0,0.00024629832478240127,0.008085798472166061,0.0021210591088609426,0.0009187602092427809,9,40020,20110313_231113_r2_scwa__hx,2011-03-13,72
1.0,0.07321332773426546,6.0,0.0,0.0006595961167477072,0.07387292385101318,0.010704824558666176,0.006523518139206469,,10,20110410_225419_r2_scwa__hx,2011-04-10,100
2.0,0.007449541299138217,6.0,0.0,0.00026493746554479,0.007714478764683008,0.001977733096559406,0.0008085989243600437,,10,20110410_225419_r2_scwa__hx,2011-04-10,100
1.0,0.2493595303858456,6.0,0.0,3.457349885138683e-05,0.249394103884697,0.029013926148570342,0.02389050123099407,,16,20110410_225419_r2_scwa__hx,2011-04-10,100
2.0,0.016321834962582216,6.0,0.0,0.000465379242086783,0.016787214204669,0.0035858815603039803,0.0017081754781161542,,16,20110410_225419_r2_scwa__hx,2011-04-10,100
1.0,0.13724707788787785,6.0,0.0,0.0021772014442831282,0.13942427933216098,0.028207461422084405,0.014716697017449373,,17,20110410_225419_r2_scwa__hx,2011-04-10,100
2.0,0.013506929361028595,6.0,0.0,0.00037149529089219863,0.013878424651920797,0.0034877829069321193,0.0015240141717341473,,17,20110410_225419_r2_scwa__hx,2011-04-10,100
1.0,0.23251372249796984,6.0,0.0,0.0026220860891044136,0.23513580858707425,0.02720880447288029,0.01817906714057313,,18,20110410_225419_r2_scwa__hx,2011-04-10,100
2.0,0.023537854809546843,6.0,0.0,0.00029552433989010746,0.023833379149436954,0.0030544848844820944,0.001451564848225342,,18,20110410_225419_r2_scwa__hx,2011-04-10,100
1.0,0.228600406087935,6.0,0.0,0.0015734052285552025,0.2301738113164902,0.03391015669285083,0.02860773912390643,,19,20110410_225419_r2_scwa__hx,2011-04-10,100
2.0,0.014639464003266765,6.0,0.0,0.0003544662322383373,0.014993930235505102,0.0028864763461381535,0.0014400247264161144,,19,20110410_225419_r2_scwa__hx,2011-04-10,100
1.0,0.1772699276916683,6.0,0.0,0.0009848256595432756,0.17825475335121155,0.027900206139049855,0.021202774140213668,,21,20110410_225419_r2_scwa__hx,2011-04-10,100
2.0,0.037275372626027085,6.0,0.0,0.00032709669903852046,0.037602469325065606,0.004157958326885293,0.0029252864188549243,,21,20110410_225419_r2_scwa__hx,2011-04-10,100
1.0,0.1830209129257128,6.0,0.0,0.0009303606348112224,0.183951273560524,0.03491015994745364,0.02193135248442208,,22,20110410_225419_r2_scwa__hx,2011-04-10,100
2.0,0.06422130094142632,6.0,0.0,0.00023231579689308998,0.0644536167383194,0.004810394613559825,0.00347597672782187,,22,20110410_225419_r2_scwa__hx,2011-04-10,100
1.0,0.1830783952027559,6.0,0.0,0.0007238369435071947,0.1838022321462631,0.038186377907213055,0.02493656236110051,,23,20110410_225419_r2_scwa__hx,2011-04-10,100
2.0,0.036408266008947976,6.0,0.0,0.00015472438826691357,0.03656299039721488,0.005291060641628914,0.003775055650494368,,23,20110410_225419_r2_scwa__hx,2011-04-10,100
1.0,0.07595988182583824,6.0,0.0,0.0008820015355013312,0.07684188336133957,0.013459457744642975,0.006380017968666462,,5,20110410_225419_r2_scwa__hx,2011-04-10,100
2.0,0.008949457638664171,6.0,0.0,0.0004794923879671841,0.009428950026631357,0.0029838937779469946,0.001165336638701118,,5,20110410_225419_r2_scwa__hx,2011-04-10,100
1.0,0.23773523804266006,6.0,0.0,0.0013134813634678721,0.23904871940612796,0.027033175367050834,0.02620224958932792,,6,20110410_225419_r2_scwa__hx,2011-04-10,100
2.0,0.04549515139660799,6.0,0.0,0.00019844356575049455,0.045693594962358475,0.004854134003131962,0.004033578926257839,,6,20110410_225419_r2_scwa__hx,2011-04-10,100
1.0,0.5250547921750695,6.0,0.0,0.000786026706919074,0.5258408188819885,0.054545690210756004,0.04976741883042141,11,40016,20110411_222442_r2_scwa__hx,2011-04-11,101
2.0,0.03986685076961293,6.0,0.0,0.000303308421280235,0.040170159190893166,0.005047655650758371,0.0047051839889548225,11,40016,20110411_222442_r2_scwa__hx,2011-04-11,101
1.0,0.31459738430567086,6.0,0.0,0.002984239486977458,0.3175816237926483,0.06979695477192897,0.04199846807690913,13,40014,20110411_222442_r2_scwa__hx,2011-04-11,101
2.0,0.04155784286558628,6.0,0.0,0.0002109091728925705,0.04176875203847885,0.006750458380712544,0.004561971469683665,13,40014,20110411_222442_r2_scwa__hx,2011-04-11,101
1.0,0.33561470685526723,6.0,0.0,0.0024800938554108143,0.3380948007106781,0.04468171967806923,0.030182769589098494,1,40018,20110411_222442_r2_scwa__hx,2011-04-11,101
2.0,0.01948595489375293,6.0,0.0,0.0003549263346940279,0.01984088122844696,0.003226717693167309,0.0018229630246637597,1,40018,20110411_222442_r2_scwa__hx,2011-04-11,101
1.0,0.26481773890554905,6.0,0.0,0.0038495715707540516,0.2686673104763031,0.06886122025330468,0.03695100455804552,17,40014,20110411_222442_r2_scwa__hx,2011-04-11,101
2.0,0.04574390911147929,6.0,0.0,0.00024423710419796407,0.04598814621567726,0.005770084089074392,0.004063701773821248,17,40014,20110411_222442_r2_scwa__hx,2011-04-11,101
1.0,0.35288953012786806,6.0,0.0,0.002412952715530992,0.35530248284339905,0.05561618823749637,0.03747620724557742,21,40013,20110411_222442_r2_scwa__hx,2011-04-11,101
2.0,0.03993254661327228,6.0,0.0,0.00015038863057270646,0.040082935243844986,0.004270609360799892,0.0034668062031749454,21,40013,20110411_222442_r2_scwa__hx,2011-04-11,101
1.0,0.15365855745039878,6.0,0.0,0.0030994529370218515,0.15675801038742065,0.03067308672622257,0.019388313848163596,25,40013,20110411_222442_r2_scwa__hx,2011-04-11,101
2.0,0.008642417626106179,6.0,0.0,0.0001663283765083179,0.008808746002614496,0.001889976771920808,0.0008341448773094347,25,40013,20110411_222442_r2_scwa__hx,2011-04-11,101
1.0,0.4580585716757923,6.0,0.0,0.002278649946674704,0.4603372216224671,0.054342412708558295,0.031907880732413525,3,40018,20110411_222442_r2_scwa__hx,2011-04-11,101
